ID,Name,Tracks
AL011851,UNNAMED,14,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19710913,1800,,HU,33.0,-54.9,90,959,,,,,,,,,,,,,
19710914,0000,,HU,33.3,-53.3,95,,,,,,,,,,,,,,
19710914,0600,,HU,33.6,-52.7,90,,,,,,,,,,,,,,
19710914,1200,,HU,33.7,-50.1,85,,,,,,,,,,,,,,
19710914,1800,,HU,33.3,-48.3,80,964,,,,,,,,,,,,,
19710915,0000,,HU,33.0,-48.4,75,,,,,,,,,,,,,,
19710915,0600,,HU,32.9,-48.7,75,,,,,,,,,,,,,,
19710915,1200,,HU,32.8,-49.1,70,981,,,,,,,,,,,,,
19710915,1800,,HU,32.7,-49.4,70,,,,,,,,,,,,,,
19710916,0000,,HU,32.7,-49.6,70,,,,,,,,,,,,,,
19710916,0600,,HU,32.7,-49.8,70,,,,,,,,,,,,,,
19710916,1200,,HU,32.7,-50.1,65,987,,,,,,,,,,,,,
19710916,1800,,HU,32.7,-50.5,65,,,,,,,,,,,,,,
19710917,0000,,HU,32.7,-51.0,65,987,,,,,,,,,,,,,
19710917,0600,,HU,32.7,-51.5,65,,,,,,,,,,,,,,
19710917,1200,,HU,32.7,-51.9,65,992,,,,,,,,,,,,,
19710917,1800,,HU,32.6,-52.2,65,,,,,,,,,,,,,,
19710918,0000,,HU,32.5,-52.4,65,,,,,,,,,,,,,,
19710918,0600,,HU,32.3,-52.6,65,,,,,,,,,,,,,,
19710918,1200,,HU,32.1,-52.8,65,,,,,,,,,,,,,,
19710918,1800,,HU,31.8,-52.8,65,,,,,,,,,,,,,,
19710919,0000,,HU,31.4,-52.6,65,,,,,,,,,,,,,,
19710919,0600,,HU,31.0,-52.2,65,,,,,,,,,,,,,,
19710919,1200,,HU,31.0,-51.7,65,987,,,,,,,,,,,,,
19710919,1800,,HU,31.2,-51.6,65,,,,,,,,,,,,,,
19710920,0000,,HU,31.4,-51.7,65,,,,,,,,,,,,,,
19710920,0600,,HU,31.6,-51.8,65,,,,,,,,,,,,,,
19710920,1200,,HU,31.7,-52.0,65,,,,,,,,,,,,,,
19710920,1800,,HU,31.8,-52.4,65,,,,,,,,,,,,,,
19710921,0000,,HU,31.7,-53.0,65,,,,,,,,,,,,,,
19710921,0600,,HU,31.6,-53.5,65,,,,,,,,,,,,,,
19710921,1200,,HU,31.5,-54.2,65,993,,,,,,,,,,,,,
19710921,1800,,HU,31.4,-55.2,65,,,,,,,,,,,,,,
19710922,0000,,HU,31.3,-56.5,65,994,,,,,,,,,,,,,
19710922,0600,,HU,31.3,-57.8,65,995,,,,,,,,,,,,,
19710922,1200,,HU,31.2,-59.2,65,995,,,,,,,,,,,,,
19710922,1800,,HU,31.1,-60.3,80,994,,,,,,,,,,,,,
19710923,0000,,HU,31.0,-61.5,80,993,,,,,,,,,,,,,
19710923,0600,,HU,30.9,-62.8,80,993,,,,,,,,,,,,,
19710923,1200,,HU,30.8,-64.0,75,994,,,,,,,,,,,,,
19710923,1800,,HU,30.5,-65.1,75,992,,,,,,,,,,,,,
19710924,0000,,HU,30.1,-66.2,75,988,,,,,,,,,,,,,
19710924,0600,,HU,30.0,-67.1,75,986,,,,,,,,,,,,,
19710924,1200,,HU,30.0,-67.5,70,993,,,,,,,,,,,,,
19710924,1800,,HU,29.9,-67.8,70,988,,,,,,,,,,,,,
19710925,0000,,HU,29.8,-68.2,70,980,,,,,,,,,,,,,
19710925,0600,,HU,29.6,-68.4,70,981,,,,,,,,,,,,,
19710925,1200,,HU,29.4,-68.5,75,984,,,,,,,,,,,,,
19710925,1800,,HU,29.2,-68.6,75,980,,,,,,,,,,,,,
19710926,0000,,HU,28.8,-68.8,75,976,,,,,,,,,,,,,
19710926,0600,,HU,28.4,-69.0,70,976,,,,,,,,,,,,,
19710926,1200,,HU,28.2,-69.3,65,982,,,,,,,,,,,,,
19710926,1800,,HU,28.0,-69.7,70,983,,,,,,,,,,,,,
19710927,0000,,HU,27.9,-70.2,70,980,,,,,,,,,,,,,
19710927,0600,,HU,28.0,-70.4,75,978,,,,,,,,,,,,,
19710927,1200,,HU,28.2,-70.6,80,975,,,,,,,,,,,,,
19710927,1800,,HU,28.4,-70.9,80,969,,,,,,,,,,,,,
19710928,0000,,HU,28.7,-71.0,80,969,,,,,,,,,,,,,
19710928,0600,,HU,29.1,-71.1,80,976,,,,,,,,,,,,,
19710928,1200,,HU,29.5,-71.3,80,981,,,,,,,,,,,,,
19710928,1800,,HU,30.0,-71.7,85,980,,,,,,,,,,,,,
19710929,0000,,HU,30.5,-72.2,85,985,,,,,,,,,,,,,
19710929,0600,,HU,31.0,-72.8,90,982,,,,,,,,,,,,,
19710929,1200,,HU,31.6,-73.5,90,983,,,,,,,,,,,,,
19710929,1800,,HU,32.3,-74.4,90,985,,,,,,,,,,,,,
19710930,0000,,HU,32.9,-75.0,85,988,,,,,,,,,,,,,
19710930,0600,,HU,33.5,-75.5,80,985,,,,,,,,,,,,,
19710930,1200,,HU,34.0,-76.0,75,985,,,,,,,,,,,,,
19710930,1800,,HU,34.5,-76.5,65,984,,,,,,,,,,,,,
19711001,0000,,TS,34.7,-77.0,60,991,,,,,,,,,,,,,
19711001,0600,,TS,34.8,-77.5,55,997,,,,,,,,,,,,,
19711001,1200,,TS,34.9,-78.0,45,1000,,,,,,,,,,,,,
19711001,1800,,TD,35.2,-78.2,30,1004,,,,,,,,,,,,,
19711002,0000,,TD,35.6,-78.3,30,,,,,,,,,,,,,,
19711002,0600,,TD,36.2,-78.2,30,,,,,,,,,,,,,,
19711002,1200,,TD,36.8,-78.1,30,,,,,,,,,,,,,,
19711002,1800,,TD,37.2,-77.7,30,,,,,,,,,,,,,,
19711003,0000,,TD,37.3,-76.8,30,,,,,,,,,,,,,,
19711003,0600,,EX,37.2,-75.9,30,1008,,,,,,,,,,,,,
19711003,1200,,EX,37.0,-75.0,30,,,,,,,,,,,,,,
19711003,1800,,EX,36.7,-74.1,30,,,,,,,,,,,,,,
19711004,0000,,EX,36.4,-73.3,30,,,,,,,,,,,,,,
19711004,0600,,EX,36.1,-72.7,30,,,,,,,,,,,,,,
19711004,1200,,EX,35.9,-72.0,25,,,,,,,,,,,,,,
19711004,1800,,EX,35.8,-71.3,25,,,,,,,,,,,,,,
19711005,0000,,EX,35.7,-70.6,25,,,,,,,,,,,,,,
19711005,0600,,EX,35.7,-69.9,25,,,,,,,,,,,,,,
ID,Name,Tracks
AL151971,UNNAMED,13,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19710908,1200,,TD,28.5,-73.5,20,,,,,,,,,,,,,,
19710908,1800,,TD,29.2,-73.2,20,,,,,,,,,,,,,,
19710909,0000,,TD,30.0,-73.0,25,,,,,,,,,,,,,,
19710909,0600,,TD,30.7,-73.2,25,,,,,,,,,,,,,,
19710909,1200,,TD,31.5,-73.5,25,,,,,,,,,,,,,,
19710909,1800,,TD,31.8,-75.6,25,,,,,,,,,,,,,,
19710910,0000,,TD,32.1,-75.7,25,,,,,,,,,,,,,,
19710910,0600,,TD,32.5,-76.8,25,,,,,,,,,,,,,,
19710910,1200,,TD,33.0,-78.0,25,,,,,,,,,,,,,,
19710910,1800,,TD,32.9,-78.7,20,,,,,,,,,,,,,,
19710911,0000,,TD,32.8,-79.5,20,,,,,,,,,,,,,,
19710911,0600,,TD,32.7,-80.2,20,,,,,,,,,,,,,,
19710911,1200,,TD,32.5,-81.0,-99,,,,,,,,,,,,,,
ID,Name,Tracks
AL161971,UNNAMED,17,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19710910,1200,,TD,16.0,-16.0,20,,,,,,,,,,,,,,
19710910,1800,,TD,16.0,-18.0,20,,,,,,,,,,,,,,
19710911,0000,,TD,16.0,-20.0,25,,,,,,,,,,,,,,
19710911,0600,,TD,16.0,-22.0,25,,,,,,,,,,,,,,
19710911,1200,,TD,16.0,-24.0,25,,,,,,,,,,,,,,
19710911,1800,,TD,16.0,-25.4,25,,,,,,,,,,,,,,
19710912,0000,,TD,16.0,-26.8,30,,,,,,,,,,,,,,
19710912,0600,,TD,16.0,-28.1,30,,,,,,,,,,,,,,
19710912,1200,,TD,16.0,-29.5,30,,,,,,,,,,,,,,
19710912,1800,,TD,16.2,-31.0,30,,,,,,,,,,,,,,
19710913,0000,,TD,16.5,-32.5,30,,,,,,,,,,,,,,
19710913,0600,,TD,16.7,-33.0,25,,,,,,,,,,,,,,
19710913,1200,,TD,17.0,-35.5,25,,,,,,,,,,,,,,
19710913,1800,,TD,17.3,-37.4,25,,,,,,,,,,,,,,
19710914,0000,,TD,17.7,-39.2,25,,,,,,,,,,,,,,
19710914,0600,,TD,18.1,-41.1,20,,,,,,,,,,,,,,
19710914,1200,,TD,18.5,-43.0,20,,,,,,,,,,,,,,
ID,Name,Tracks
AL171971,HEIDI,17,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19710911,0000,,TD,27.1,-72.0,30,,,,,,,,,,,,,,
19710911,0600,,TD,27.2,-72.3,30,,,,,,,,,,,,,,
19710911,1200,,TD,27.5,-72.8,30,,,,,,,,,,,,,,
19710911,1800,,TD,27.9,-73.3,30,,,,,,,,,,,,,,
19710912,0000,,TD,28.6,-73.8,30,1006,,,,,,,,,,,,,
19710912,0600,,TS,29.2,-74.0,40,,,,,,,,,,,,,,
19710912,1200,,TS,30.0,-73.9,45,1001,,,,,,,,,,,,,
19710912,1800,,TS,30.8,-73.5,45,998,,,,,,,,,,,,,
19710913,0000,,TS,31.7,-72.8,45,,,,,,,,,,,,,,
19710913,0600,,TS,32.7,-72.0,45,,,,,,,,,,,,,,
19710913,1200,,TS,33.8,-71.3,45,998,,,,,,,,,,,,,
19710913,1800,,TS,35.3,-70.3,50,996,,,,,,,,,,,,,
19710914,0000,,TS,37.1,-69.9,55,,,,,,,,,,,,,,
19710914,0600,,TS,39.4,-69.3,50,,,,,,,,,,,,,,
19710914,1200,,TS,41.6,-68.8,50,,,,,,,,,,,,,,
19710914,1800,,TS,43.7,-68.7,40,998,,,,,,,,,,,,,
19710915,0000,,TD,45.5,-69.0,25,1002,,,,,,,,,,,,,
ID,Name,Tracks
AL181971,IRENE,37,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19710911,1800,,TD,11.0,-48.5,25,1009,,,,,,,,,,,,,
19710912,0000,,TD,11.3,-50.3,25,,,,,,,,,,,,,,
19710912,0600,,TD,11.8,-52.2,25,,,,,,,,,,,,,,
19710912,1200,,TD,12.1,-53.8,25,1009,,,,,,,,,,,,,
19710912,1800,,TD,12.5,-55.0,25,,,,,,,,,,,,,,
19710913,0000,,TD,12.5,-56.5,25,,,,,,,,,,,,,,
19710913,0600,,TD,12.5,-57.8,25,,,,,,,,,,,,,,
19710913,1200,,TD,12.5,-59.0,25,,,,,,,,,,,,,,
19710913,1800,,TD,12.3,-59.8,25,,,,,,,,,,,,,,
19710914,0000,,TD,12.2,-60.3,25,,,,,,,,,,,,,,
19710914,0600,,TD,12.1,-60.8,25,,,,,,,,,,,,,,
19710914,1200,,TD,12.0,-61.4,25,1007,,,,,,,,,,,,,
19710914,1800,,TD,11.9,-62.1,25,,,,,,,,,,,,,,
19710915,0000,,TD,11.7,-63.0,30,,,,,,,,,,,,,,
19710915,0600,,TD,11.5,-64.0,30,,,,,,,,,,,,,,
19710915,1200,,TD,11.4,-65.0,30,,,,,,,,,,,,,,
19710915,1800,,TD,11.5,-66.2,30,,,,,,,,,,,,,,
19710916,0000,,TD,11.9,-67.5,30,,,,,,,,,,,,,,
19710916,0600,,TD,12.2,-69.0,30,,,,,,,,,,,,,,
19710916,1200,,TD,12.5,-70.5,30,,,,,,,,,,,,,,
19710916,1800,,TD,12.6,-71.7,30,,,,,,,,,,,,,,
19710917,0000,,TS,12.5,-73.0,35,,,,,,,,,,,,,,
19710917,0600,,TS,12.4,-74.5,35,,,,,,,,,,,,,,
19710917,1200,,TS,12.3,-76.0,40,1005,,,,,,,,,,,,,
19710917,1800,,TS,12.1,-77.5,45,,,,,,,,,,,,,,
19710918,0000,,TS,12.0,-79.0,50,,,,,,,,,,,,,,
19710918,0600,,TS,11.7,-80.5,55,1002,,,,,,,,,,,,,
19710918,1200,,TS,11.5,-81.5,60,,,,,,,,,,,,,,
19710918,1800,,HU,11.4,-82.3,70,993,,,,,,,,,,,,,
19710919,0000,,HU,11.3,-82.9,65,989,,,,,,,,,,,,,
19710919,0600,,HU,11.4,-83.5,65,,,,,,,,,,,,,,
19710919,1200,,TS,11.5,-84.3,60,,,,,,,,,,,,,,
19710919,1800,,TS,11.7,-85.0,50,,,,,,,,,,,,,,
19710920,0000,,TD,11.9,-85.8,30,,,,,,,,,,,,,,
19710920,0600,,TD,12.2,-86.5,30,,,,,,,,,,,,,,
19710920,1200,,TS,12.3,-87.2,35,,,,,,,,,,,,,,
19710920,1800,,TS,12.5,-87.9,35,,,,,,,,,,,,,,
ID,Name,Tracks
AL191971,JANICE,15,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19710921,0600,,TD,11.5,-38.8,25,,,,,,,,,,,,,,
19710921,1200,,TD,11.6,-40.9,25,,,,,,,,,,,,,,
19710921,1800,,TD,11.7,-42.7,30,,,,,,,,,,,,,,
19710922,0000,,TD,11.8,-44.3,30,,,,,,,,,,,,,,
19710922,0600,,TS,12.0,-45.8,40,,,,,,,,,,,,,,
19710922,1200,,TS,12.4,-47.2,40,1009,,,,,,,,,,,,,
19710922,1800,,TS,13.1,-48.5,55,1005,,,,,,,,,,,,,
19710923,0000,,TS,13.7,-49.9,55,,,,,,,,,,,,,,
19710923,0600,,TS,14.4,-51.2,50,,,,,,,,,,,,,,
19710923,1200,,TS,15.0,-52.6,50,,,,,,,,,,,,,,
19710923,1800,,TS,15.8,-53.9,45,,,,,,,,,,,,,,
19710924,0000,,TS,16.3,-55.2,45,,,,,,,,,,,,,,
19710924,0600,,TS,17.1,-57.0,35,1006,,,,,,,,,,,,,
19710924,1200,,TD,18.1,-58.6,30,,,,,,,,,,,,,,
19710924,1800,,TD,19.4,-60.0,30,,,,,,,,,,,,,,
ID,Name,Tracks
AL201971,UNNAMED,33,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19711006,1200,,TD,17.5,-84.5,20,,,,,,,,,,,,,,
19711006,1800,,TD,17.7,-85.0,25,,,,,,,,,,,,,,
19711007,0000,,TD,18.0,-85.5,25,,,,,,,,,,,,,,
19711007,0600,,TD,18.2,-86.0,25,,,,,,,,,,,,,,
19711007,1200,,TD,18.5,-86.5,25,,,,,,,,,,,,,,
19711007,1800,,TD,18.7,-87.0,25,,,,,,,,,,,,,,
19711008,0000,,TD,19.0,-87.5,20,,,,,,,,,,,,,,
19711008,0600,,TD,19.3,-88.0,20,,,,,,,,,,,,,,
19711008,1200,,TD,19.5,-88.5,20,,,,,,,,,,,,,,
19711008,1800,,TD,19.8,-89.1,20,,,,,,,,,,,,,,
19711009,0000,,TD,20.2,-89.7,20,,,,,,,,,,,,,,
19711009,0600,,TD,20.6,-90.3,20,,,,,,,,,,,,,,
19711009,1200,,TD,21.0,-91.0,20,,,,,,,,,,,,,,
19711009,1800,,TD,21.5,-90.5,25,,,,,,,,,,,,,,
19711010,0000,,TD,22.0,-90.0,25,,,,,,,,,,,,,,
19711010,0600,,TD,22.5,-89.5,25,,,,,,,,,,,,,,
19711010,1200,,TD,23.0,-89.0,25,,,,,,,,,,,,,,
19711010,1800,,TD,23.3,-88.0,25,,,,,,,,,,,,,,
19711011,0000,,TD,23.7,-87.0,25,,,,,,,,,,,,,,
19711011,0600,,TD,24.1,-86.0,25,,,,,,,,,,,,,,
19711011,1200,,TD,24.5,-85.0,25,,,,,,,,,,,,,,
19711011,1800,,TD,24.7,-84.8,25,,,,,,,,,,,,,,
19711012,0000,,TD,25.0,-84.5,25,,,,,,,,,,,,,,
19711012,0600,,TD,25.3,-84.2,25,,,,,,,,,,,,,,
19711012,1200,,TD,25.5,-84.0,25,,,,,,,,,,,,,,
19711012,1800,,TD,26.0,-84.1,25,,,,,,,,,,,,,,
19711013,0000,,TD,26.5,-84.1,25,,,,,,,,,,,,,,
19711013,0600,,TD,27.0,-84.3,25,,,,,,,,,,,,,,
19711013,1200,,TD,27.5,-84.5,25,,,,,,,,,,,,,,
19711013,1800,,TD,28.1,-84.6,25,,,,,,,,,,,,,,
19711014,0000,,TD,28.7,-84.7,25,,,,,,,,,,,,,,
19711014,0600,,TD,29.3,-84.8,25,,,,,,,,,,,,,,
19711014,1200,,TD,30.0,-85.0,-99,,,,,,,,,,,,,,
ID,Name,Tracks
AL211971,KRISTY,16,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19711018,0000,,TD,25.0,-58.5,25,,,,,,,,,,,,,,
19711018,0600,,TD,26.0,-58.0,25,,,,,,,,,,,,,,
19711018,1200,,TD,27.0,-57.6,25,,,,,,,,,,,,,,
19711018,1800,,TD,28.0,-57.3,25,1009,,,,,,,,,,,,,
19711019,0000,,TD,29.1,-57.1,25,1009,,,,,,,,,,,,,
19711019,0600,,TD,30.0,-56.8,25,,,,,,,,,,,,,,
19711019,1200,,TD,31.1,-56.3,25,,,,,,,,,,,,,,
19711019,1800,,TD,32.5,-54.7,30,1009,,,,,,,,,,,,,
19711020,0000,,TS,33.5,-52.8,35,,,,,,,,,,,,,,
19711020,0600,,TS,34.8,-49.8,35,,,,,,,,,,,,,,
19711020,1200,,TS,35.4,-47.1,45,997,,,,,,,,,,,,,
19711020,1800,,TS,36.4,-42.9,45,992,,,,,,,,,,,,,
19711021,0000,,TS,36.7,-38.3,40,,,,,,,,,,,,,,
19711021,0600,,EX,37.0,-34.6,40,,,,,,,,,,,,,,
19711021,1200,,EX,38.2,-30.8,40,,,,,,,,,,,,,,
19711021,1800,,EX,40.5,-28.9,40,,,,,,,,,,,,,,
ID,Name,Tracks
AL221971,LAURA,39,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19711112,1200,,TD,12.0,-78.5,25,,,,,,,,,,,,,,
19711112,1800,,TD,12.3,-78.8,30,,,,,,,,,,,,,,
19711113,0000,,TD,12.7,-79.0,30,,,,,,,,,,,,,,
19711113,0600,,TD,13.3,-79.6,30,,,,,,,,,,,,,,
19711113,1200,,TD,13.8,-80.0,30,,,,,,,,,,,,,,
19711113,1800,,TD,14.5,-80.6,30,,,,,,,,,,,,,,
19711114,0000,,TD,15.2,-81.3,30,,,,,,,,,,,,,,
19711114,0600,,TD,16.0,-82.0,30,,,,,,,,,,,,,,
19711114,1200,,TS,16.6,-82.5,35,1004,,,,,,,,,,,,,
19711114,1800,,TS,17.4,-83.2,40,,,,,,,,,,,,,,
19711115,0000,,TS,18.2,-83.6,40,,,,,,,,,,,,,,
19711115,0600,,TS,19.0,-83.8,45,,,,,,,,,,,,,,
19711115,1200,,TS,19.8,-84.0,55,,,,,,,,,,,,,,
19711115,1800,,TS,20.4,-84.1,60,,,,,,,,,,,,,,
19711116,0000,,TS,21.0,-84.0,60,998,,,,,,,,,,,,,
19711116,0600,,TS,21.4,-83.8,60,,,,,,,,,,,,,,
19711116,1200,,TS,21.7,-83.5,60,,,,,,,,,,,,,,
19711116,1800,,TS,21.4,-83.4,60,,,,,,,,,,,,,,
19711117,0000,,TS,21.1,-83.3,60,995,,,,,,,,,,,,,
19711117,0600,,TS,20.5,-83.5,60,,,,,,,,,,,,,,
19711117,1200,,TS,20.1,-83.9,60,994,,,,,,,,,,,,,
19711117,1800,,TS,19.9,-84.2,60,996,,,,,,,,,,,,,
19711118,0000,,TS,19.7,-84.4,55,,,,,,,,,,,,,,
19711118,0600,,TS,19.8,-84.7,50,1000,,,,,,,,,,,,,
19711118,1200,,TS,19.9,-85.0,50,,,,,,,,,,,,,,
19711118,1800,,TS,19.9,-85.2,50,1001,,,,,,,,,,,,,
19711119,0000,,TS,19.7,-85.5,50,1003,,,,,,,,,,,,,
19711119,0600,,TS,19.4,-85.5,45,,,,,,,,,,,,,,
19711119,1200,,TS,19.1,-85.5,45,,,,,,,,,,,,,,
19711119,1800,,TS,18.6,-85.7,45,1000,,,,,,,,,,,,,
19711120,0000,,TS,18.2,-86.1,40,,,,,,,,,,,,,,
19711120,0600,,TS,17.9,-86.5,50,1000,,,,,,,,,,,,,
19711120,1200,,TS,17.6,-87.2,55,1000,,,,,,,,,,,,,
19711120,1800,,TS,17.2,-87.7,60,997,,,,,,,,,,,,,
19711121,0000,,TS,16.7,-88.2,60,997,,,,,,,,,,,,,
19711121,0600,,TS,16.3,-88.6,60,,,,,,,,,,,,,,
19711121,1200,,TS,16.0,-89.0,60,,,,,,,,,,,,,,
19711121,1800,,TS,15.7,-89.4,60,,,,,,,,,,,,,,
19711122,0000,,TD,15.3,-90.0,30,,,,,,,,,,,,,,
ID,Name,Tracks
AL011972,ALPHA,24,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19720523,1800,,SD,31.2,-78.2,25,1004,,,,,,,,,,,,,
19720524,0000,,SD,31.7,-77.0,30,,,,,,,,,,,,,,
19720524,0600,,SD,32.2,-76.6,30,1003,,,,,,,,,,,,,
19720524,1200,,SD,32.9,-76.2,30,,,,,,,,,,,,,,
19720524,1800,,SD,33.5,-75.7,30,,,,,,,,,,,,,,
19720525,0000,,SD,34.0,-75.4,30,1004,,,,,,,,,,,,,
19720525,0600,,SD,34.3,-75.1,30,,,,,,,,,,,,,,
19720525,1200,,SD,34.4,-74.6,30,,,,,,,,,,,,,,
19720525,1800,,SD,34.2,-74.1,30,,,,,,,,,,,,,,
19720526,0000,,SS,34.0,-73.5,45,,,,,,,,,,,,,,
19720526,0600,,SS,32.5,-74.6,50,,,,,,,,,,,,,,
19720526,1200,,SS,31.6,-75.7,60,1001,,,,,,,,,,,,,
19720526,1800,,SS,31.4,-75.9,55,,,,,,,,,,,,,,
19720527,0000,,SS,31.2,-76.2,50,,,,,,,,,,,,,,
19720527,0600,,SS,30.8,-77.1,45,,,,,,,,,,,,,,
19720527,1200,,SS,30.6,-78.4,55,,,,,,,,,,,,,,
19720527,1800,,SS,30.8,-80.1,50,991,,,,,,,,,,,,,
19720528,0000,,SD,31.0,-81.7,30,,,,,,,,,,,,,,
19720528,0600,,SD,30.5,-83.0,30,1011,,,,,,,,,,,,,
19720528,1200,,SD,29.8,-84.0,30,1012,,,,,,,,,,,,,
19720528,1800,,SD,29.2,-84.7,30,1013,,,,,,,,,,,,,
19720529,0000,,SD,28.8,-85.0,25,,,,,,,,,,,,,,
19720529,0600,,SD,28.4,-85.2,25,,,,,,,,,,,,,,
19720529,1200,,SD,27.8,-85.5,25,1013,,,,,,,,,,,,,
ID,Name,Tracks
AL021972,AGNES,35,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19720614,1200,,TD,20.0,-89.0,25,,,,,,,,,,,,,,
19720614,1800,,TD,20.0,-88.7,25,,,,,,,,,,,,,,
19720615,0000,,TD,20.0,-88.4,25,,,,,,,,,,,,,,
19720615,0600,,TD,20.0,-88.1,25,,,,,,,,,,,,,,
19720615,1200,,TD,20.0,-87.8,25,,,,,,,,,,,,,,
19720615,1800,,TD,20.0,-87.4,30,,,,,,,,,,,,,,
19720616,0000,,TD,20.0,-87.0,30,1001,,,,,,,,,,,,,
19720616,0600,,TD,20.0,-86.6,30,,,,,,,,,,,,,,
19720616,1200,,TS,20.0,-86.2,40,998,,,,,,,,,,,,,
19720616,1800,,TS,20.2,-85.8,45,,,,,,,,,,,,,,
19720617,0000,,TS,20.5,-85.5,50,,,,,,,,,,,,,,
19720617,0600,,TS,20.9,-85.3,50,,,,,,,,,,,,,,
19720617,1200,,TS,21.4,-85.2,50,,,,,,,,,,,,,,
19720617,1800,,TS,21.9,-85.3,55,,,,,,,,,,,,,,
19720618,0000,,TS,22.4,-85.4,60,,,,,,,,,,,,,,
19720618,0600,,TS,23.0,-85.5,60,,,,,,,,,,,,,,
19720618,1200,,HU,23.8,-85.6,65,986,,,,,,,,,,,,,
19720618,1800,,HU,24.8,-85.7,65,983,,,,,,,,,,,,,
19720619,0000,,HU,26.0,-85.7,75,982,,,,,,,,,,,,,
19720619,0600,,HU,27.2,-85.7,75,978,,,,,,,,,,,,,
19720619,1200,,HU,28.5,-85.7,75,978,,,,,,,,,,,,,
19720619,1800,,HU,29.6,-85.6,65,983,,,,,,,,,,,,,
19720620,0000,,TS,30.5,-85.2,45,,,,,,,,,,,,,,
19720620,0600,,TD,31.4,-84.7,30,990,,,,,,,,,,,,,
19720620,1200,,TD,32.2,-83.8,30,,,,,,,,,,,,,,
19720620,1800,,TD,32.9,-82.8,30,992,,,,,,,,,,,,,
19720621,0000,,TD,33.5,-81.7,30,992,,,,,,,,,,,,,
19720621,0600,,TD,33.8,-80.2,30,,,,,,,,,,,,,,
19720621,1200,,TD,34.4,-79.0,30,990,,,,,,,,,,,,,
19720621,1800,,TS,35.2,-77.6,40,988,,,,,,,,,,,,,
19720622,0000,,TS,35.8,-75.7,45,,,,,,,,,,,,,,
19720622,0600,,TS,36.9,-74.3,50,,,,,,,,,,,,,,
19720622,1200,,TS,38.2,-73.1,60,977,,,,,,,,,,,,,
19720622,1800,,TS,40.2,-73.4,55,980,,,,,,,,,,,,,
